Endpoint                       Methods  Rule                              
-----------------------------  -------  ----------------------------------
alerts.get_alerts              GET      /api/alerts                       
alerts.get_alerts              GET      /api/alerts/                      
alerts.resolve_alert           POST     /api/alerts/resolve/<int:alert_id>
analytics.analytics_status     GET      /api/analytics/                   
analytics.analytics_status     GET      /api/analytics                    
auth.login                     POST     /auth/login                       
auth.signup                    POST     /auth/signup                      
dashboard.dashboard_status     GET      /dashboard/                       
decision.combined_decision     POST     /decision/combined                
health.api_health              GET      /api/health                       
health.get_health_score        GET      /api/health-score                 
health.health_check            GET      /health                           
health.index                   GET      /                                 
irrigation.control_irrigation  POST     /irrigation/control               
predict.predict_disease        POST     /predict/disease                  
predict.predict_irrigation     POST     /predict/irrigation               
sensors.ingest_sensor_data     POST     /api/sensors/ingest               
static                         GET      /static/<path:filename>           
zones.create_zone              POST     /api/zones/                       
zones.create_zone              POST     /api/zones                        
zones.get_zone_metrics         GET      /api/zones/<int:zone_id>/metrics  
zones.get_zones                GET      /api/zones/                       
zones.get_zones                GET      /api/zones                        
